Dataset,Total_time,Total_train_time,Total_validate_time,Total_test_time,GA,PA,Event_count
HDFS,148097.718529,75.66875200000001,422.18364199999996,140824.68777,0.8294931651345752,0.9662904043253155,92
Hadoop,4034.316432,74.898705,699.5239310000001,3019.677957,0.8375992399704433,0.8370047724078159,372
Spark,225046.882976,31.473087000000003,471.26412300000004,215816.253866,0.25886953108957156,0.4230671540368882,349688
Zookeeper,1585.519673,74.92813199999999,410.970859,1052.555368,0.7191846296770024,0.8407765944555895,467
BGL,90526.265105,76.268403,962.979701,87217.413049,0.14393466487852877,0.24401496698199476,19678
HPC,4634.866393,74.915669,476.572805,3892.012285,0.6423086225662111,0.7069964743202136,4166
Thunderbird,421864.776091,77.44046800000001,924.390523,411196.530051,0.579013651878161,0.3472262102568134,66701
Linux,1031.817314,74.97320500000001,579.479356,341.32414,0.49985368504661176,0.8801889553112328,594
HealthApp,3139.200735,74.97276100000003,394.34000100000003,2503.612644,0.8364219328229611,0.9673907925835946,425
Apache,1056.525843,74.95406200000001,364.90577500000006,583.142118,0.8679633691177037,0.9900150063488399,36
Proxifier,821.440576,74.965471,420.18289899999996,308.130756,0.827626641651032,0.9817073170731707,22
OpenSSH,15262.28903,75.07099799999999,523.630787,14329.77101,0.21829353608358754,0.7811508622780919,1947
OpenStack,7558.244354,75.07879899999998,666.3712029999999,6542.463477,0.9516500346767358,0.9412229328812515,430
Mac,4873.716209,75.381636,948.803541,3742.045535,0.6710130191199634,0.6131447255617362,2502